Nama,Alamat,Titik Koordinat
Brew & Chew,Jl. Sukabumi No.53,"-6.915369755853793, 107.63428675767202"
Cafe Bali,Jl. L. L. R. E. Martadinata No.211-215,"-6.913448026021833, 107.62944169668874"
Anjis Coffee,Jl. Bengawan No. 34,"-6.9089200796032095, 107.62771073558224"
Headklin Barber & Coffee House,Jl. Cianjur No.12A,"-6.915895330760809, 107.63270799140454"
Garden Coffee Bdg,Jl. Bengawan No.7A,"-6.912786983195214, 107.63268282208882"
Berasa Cafe,Jl Jenderal Ahmad Yani No.245,"-6.915114181104786, 107.63033865092439"
Lula Bakery & Coffee,Jl. Citarum No.12,"-6.90473912447709, 107.62293329325331"
Jardin Cafe,Jl. Cimanuk No.1A,"-6.905221932812897, 107.62012263558223"
4Eat Cafe,Jl. Progo No.13A,"-6.9042835242206815, 107.61839602024008"
Roger'S Cafe & Lounge,Jl . Ir. H Juanda No.97,"-6.894450462447109, 107.61256163558222"
Please Please Please Cafe And Resto,Jl. Progo No.37,"-6.904041719952052, 107.61998552208884"
Honger Cafe,Jl. Lombok No.47,"-6.9066167726081105, 107.6198950067467"
Loy Cafe,Jl. Banda No.31,"-6.9039456709243, 107.61652750674668"
Farel Patisserie Cafe,Jl. Banda No.30,"-6.906669378488028, 107.61731535092439"
Kahve,Jl Ambon No.14,"-6.907327239392456, 107.6186486067467"
Taeun Coffee & Works,Jl. L. L. R. E. Martadinata No.50,"-6.906001621231619, 107.61821240859545"
2 Grams Coffee And Meals,Jl. Ambon No.16,"-6.907153272946391, 107.61884919325331"
Gigglebox Cafe And Resto,Jl. Progo No.33A,"-6.904264334507949, 107.61959437791116"
Kaka Cafe,Jl. Surtan Tirtayasa No.49,"-6.904790930611076, 107.61607627791115"
Paris Van Java Cafe & Resto Speciality Coffee,Jl. Ambon No. 11,"-6.907228574916654, 107.61629753373344"
Chaplin'S Cafe Bar And Shisa,Jl. Diponegoro N.26,"-6.9011706202732865, 107.62149625092437"
Heritage Cafe,Jl. L. L. R. E. Martadinata No.61,"-6.905754678034929, 107.61644860674669"
Fourplay Cafe & Resto & Bar,Jl. Cilaki No.65,"-6.9034625706198325, 107.62209322208886"
Bellamie Boulangerie,Jl. Cihapit No.35,"-6.906553474521378, 107.62368787791115"
Sydwic,Jl. Cilaki No.63,"-6.903552030081218, 107.6222234932533"
The Panasdalam,Jl. Ambon No.8A,"-6.907152425835523, 107.61816510489791"
Papatong Cafeteria,Jl. Taman Citarum No.15,"-6.903999921992449, 107.62125206441777"
Bober Cafe,Jl. L. L. R. E. Martadinata No.123,"-6.906975482514751, 107.6233980509244"
Buttercup Boulangerie,Jl. Ir. H. Juanda No.46,"-6.90108257352007, 107.61227013373346"
Sejiwa Coffee,Jl. Progo No.15,"-6.904124122067933, 107.618623537431"
Hummingbird Eatery Bandung,Jl. Progo No.14,"-6.904734879567774, 107.6182881932533"
Road Cafe,Jl.Cilaki No.41,"-6.903746323918381, 107.62392837791116"
Sonoma Cafe (Sonoma Gold),Jl. Lombok No.29,"-6.908825781410188, 107.6186653490756"
Everjoy Cofeee & Cafe - Ivory Hotel Bandung,Jl. Bahureksa No.3,"-6.904795575525638, 107.61390744907558"
