Jenis Usaha,Nama,Alamat,Titik Koordinat
Mall/Supermall/Plaza,Ciwalk,Jl. Cihampelas No. 160,"-6.892040010593098, 107.60505450446244"
Mall/Supermall/Plaza,Paris Van Java Resort Lifestyle Place,Jl. Sukajadi No. 131-139,"-6.887284479328349, 107.59614923028673"
Mall/Supermall/Plaza,Btc Fashion Mall,Jl. Dr. Djunjunan No. 143-149,"-6.891267778753975, 107.58534565200128"
Mall/Supermall/Plaza,Istana Plaza,Jl. Pasir Kaliki No. 121-123,"-6.903687066118921, 107.59703469863425"
Mall/Supermall/Plaza,Istana Bec,Jl. Purnawarman No. 13-15,"-6.9064136285250814, 107.60853574494158"
Mall/Supermall/Plaza,Mall Paskal 23 Hypersquare Bandung,Kebon Jeruk Andir,"-6.913288882344184, 107.59438468720333"
Mall/Supermall/Plaza,Grand Yogya Kepatihan,Jl. Kepatihan No. 18,"-6.92199155090802, 107.60593431871882"
Mall/Supermall/Plaza,Braga City Walk,Jl. Braga No. 99-101,"-6.9152060212036295, 107.60935141882891"
Mall/Supermall/Plaza,Bandung Indah Plaza,Jl. Merdeka No. 56,"-6.906461662542402, 107.6106710441752"
Mall/Supermall/Plaza,Trans Studio Mall,Jl. Gatot Subroto No. 289,"-6.923332484599419, 107.6365056658089"
Mall/Supermall/Plaza,Festival Citylink,Jl. Peta No. 241,"-6.927961605244426, 107.58619009151079"
Mall/Supermall/Plaza,Teras Cihampelas Bandung,Jl. Cihampelas No. 162,"-6.893683587976739, 107.60420310492128"
Mall/Supermall/Plaza,Living Plaza Dago,Jl. Ir. H. Juanda Tamansari,"-6.899783700383481, 107.6115831402815"
Mall/Supermall/Plaza,Click Square ,Jl. Naripan No. 89,"-6.919687260878797, 107.61601294382884"
Mall/Supermall/Plaza,Plaza Setrasari,Jl. Surya Sumantri No. 444,"-6.880458460110545, 107.58230127299392"
Mall/Supermall/Plaza,Balubur Town Square,Jl. Tamansari No. P-2,"-6.897856405196513, 107.60931363841841"
Mall/Supermall/Plaza,Miko Mall Kopo,Jl. Raya Kopo No. 599,"-6.959857000032356, 107.5808088664058"
Mall/Supermall/Plaza,Riau Junction,Jl. L. L. R. E. Martadinata ,"-6.906275618025114, 107.6122259662744"
Mall/Supermall/Plaza,Pasar Baru Trade Center,Jl. Otto Iskandar Dinata No. 70,"-6.917337776713038, 107.60429321080534"
Mall/Supermall/Plaza,Btm Bandung Trade Mall,Jl Ibrahim Adjie No. 47,"-6.911264675617622, 107.64430607988103"
Mall/Supermall/Plaza,Parahyangan Plaza,Jl. Dalem Kaum No. 54,"-6.9214530590347865, 107.60623949107057"
Mall/Supermall/Plaza,The Kings Shopping Centre,Jl. Kepatihan No. 11-17,"-6.922012047145163, 107.60515513613716"
Mall/Supermall/Plaza,Lucky Square Mall,Jl. Terusan Jakarta No. 2,"-6.912789341821708, 107.64485622644148"
